sample,question,ground_truth,raw_prediction,prediction,correct,question_type
33,"What change has occurred to the plot of land located in the upper-central area of the images, situated between the curving paths?  **A)** A building was demolished and replaced with a garden. **B)** A new residential building was constructed. **C)** A paved road was redirected through the site. **D)** A swimming pool was excavated in an existing yard.",B,B,b,True,Multiple Choice
34,"Has a new residential building been constructed in the southern section of the image, situated south of the horizontal road and just to the west of where it intersects with the road coming from the north?",Yes,No,no,False,Yes/No
35,"In the top-left corner of the scene, has a new residential building been constructed on what was previously vacant land?",Yes,Yes,yes,True,Yes/No
36,"Has the large green tree located at the southeastern corner of the apartment complex, situated near the intersection of the main road and the side street, been removed?",Yes,Yes,yes,True,Yes/No
37,Has a tree been planted in the front yard of the house located on the eastern side of the curved road in the southern section of the image?,Yes,Yes,yes,True,Yes/No
38,"Considering the natural terrain in the first image, what change occurred to the trees located in the north-central portion of the site?  **A)** They were cleared to accommodate a residential property. **B)** They were relocated to the southern forest area. **C)** They were converted into a public playground. **D)** They were preserved within a new suburban park.",A,A,a,True,Multiple Choice
39,"Has the tree located in the front yard of the house on the western side of the residential street, situated between the street and the driveway, significantly increased in size and foliage?",Yes,Yes,yes,True,Yes/No
40,"In the southwestern portion of the residential area, has a new building been constructed on the previously vacant lot?",Yes,Yes,yes,True,Yes/No
41,What change is observed at the location in the upper-middle portion of the second image where a house is now situated?  **A)** A house was demolished to create open space. **B)** A new residential building was constructed on previously undeveloped land. **C)** An existing structure underwent a major roof replacement. **D)** A large commercial warehouse was converted into smaller residential units.,B,B,b,True,Multiple Choice
42,"Have new houses been constructed on the cleared land in the northwestern part of the residential development, adjacent to the open field?",Yes,Yes,yes,True,Yes/No
43,What change can be observed regarding the paved road along the northern edge of the area?  **A)** It was demolished and replaced with vegetation. **B)** It was newly constructed. **C)** It was significantly widened to include extra lanes. **D)** It was converted from pavement into a dirt track.,B,B,b,True,Multiple Choice
44,"In the northeast corner of the images, what change occurred to the tree located just north of the small white building?  **A)** It was newly planted. **B)** It was demolished. **C)** It was replaced by a large garden. **D)** It was relocated to the southern edge of the property.",B,B,b,True,Multiple Choice
45,"Looking at the area in the lower-right portion of the images, what change is evident between the two time periods?  **A)** A building was demolished. **B)** A new house was constructed. **C)** A parking lot was paved. **D)** Dense forest was planted.",B,B,b,True,Multiple Choice
46,"Looking at the lot on the east side of the road in the middle-left part of the area, how has it changed between the two images?  **A)** A house was built on a previously vacant lot. **B)** A building was demolished and replaced with a park. **C)** The existing house was repainted and the roof color changed. **D)** The lot was cleared of debris and left empty.",A,A,a,True,Multiple Choice
47,"In the southern section of the cul-de-sac, has a segment of the sidewalk been removed or obscured by the growth of vegetation?",Yes,Yes,yes,True,Yes/No
48,Has a new house with a dark roof been constructed on the previously cleared rectangular plot in the southwestern portion of the residential area?,Yes,Yes,yes,True,Yes/No
49,"In the front yard of the second house from the left along the street running horizontally through the lower portion of the image, what change is observed?  **A)** A tree was removed. **B)** A tree was planted. **C)** A fence was built around the yard. **D)** The lawn was paved over.",B,B,b,True,Multiple Choice
50,"Is there a newly constructed building in the top right corner of the image, where there was previously open land?",Yes,Yes,yes,True,Yes/No
51,"Has a new residential house been constructed in the bottom-left corner of the neighborhood, on what was previously an empty patch of land?",Yes,Yes,yes,True,Yes/No
52,"Has a new building been constructed in the bottom-left quadrant of the image, where previously there was only open land?",Yes,Yes,yes,True,Yes/No
53,What change has occurred to the building located at the bottom center of the images?  **A)** It was demolished. **B)** It was newly constructed. **C)** It was expanded with a new wing. **D)** It was converted into a road.,B,B,b,True,Multiple Choice
54,"In the northwestern section of the imagery, what change is visible regarding the sidewalk?  **A)** It was demolished. **B)** It was newly constructed. **C)** It was expanded into a parking lot. **D)** It was replaced by a grass strip.",B,B,b,True,Multiple Choice
55,"When evaluating the overall scene across the two provided temporal states, how would you characterize the level of change?  **A)** High degree of visual parity and stability **B)** Moderate temporal deviation **C)** Significant global alteration **D)** Pronounced structural reconfiguration",A,A,a,True,Multiple Choice
56,What change has occurred to the paved road in the lower-central portion of these images?  **A)** It was demolished. **B)** It was newly constructed. **C)** Its path was rerouted to the north. **D)** It was narrowed to allow for more landscaping.,B),B,b,True,Multiple Choice
57,"Have the trees in the north-central area of the images, located north of the L-shaped building with the greenish-gray roof, been removed and replaced by a paved parking lot?",Yes,Yes,yes,True,Yes/No
58,Has a new concrete sidewalk been constructed around the road corner in the bottom-left section of the area?,Yes,Yes,yes,True,Yes/No
59,"In the western portion of the residential development, near the curving access road, has a new long and narrow white building been constructed on what was previously an empty patch of land?",Yes,Yes,yes,True,Yes/No
60,"In the front yard of the house located on the northern side of the central horizontal road, three houses away from the western intersection, have the small saplings grown into large, mature trees with dense green canopies?",Yes,No,no,False,Yes/No
61,"In the northwest portion of the images, has a building been newly constructed on the plot of land that was previously an empty field adjacent to the curved path?",Yes,Yes,yes,True,Yes/No
62,Has a new residential building been constructed near the center of the image where there was previously only cleared ground?,Yes,Yes,yes,True,Yes/No
63,"Has a new residential building been constructed on the previously vacant lot in the upper central part of the image, situated along the inner side of the curving road?",Yes,Yes,yes,True,Yes/No
64,"Looking at the bottom-left corner of the images, what change occurred to the wooded area?  **A)** The trees were cleared to allow for the construction of a new house and pool. **B)** A wildfire destroyed the trees, leaving a scorched clearing. **C)** The trees were replaced by a large concrete parking lot. **D)** Additional trees were planted to increase the density of the wooded area.",A,A,a,True,Multiple Choice
65,"Has the small tree located near the northwestern corner of the site, adjacent to the paved parking area, been removed?",Yes,No,no,False,Yes/No
66,"In the southeastern section of the image, along the western edge of the road near the intersection, has a new segment of sidewalk been constructed to connect existing paths?",Yes,Yes,yes,True,Yes/No
67,"What change occurred to the tree located near the center of the residential cluster, adjacent to the home on the inside of the curved road?  **A)** It was removed to make way for a new driveway. **B)** It appears to have fallen over or been destroyed. **C)** It was replaced with a different species of tree. **D)** It was pruned to a much smaller size.",B,B,b,True,Multiple Choice
68,"In the upper right quadrant of the image, has a newly constructed sidewalk appeared along the side of the road?",Yes,Yes,yes,True,Yes/No
69,"Has a new residential building been constructed in the northeastern portion of the scene, north of the diagonal cleared path?",Yes,Yes,yes,True,Yes/No
70,"Looking at the open lot located in the middle-left area of the images, north of the established row of houses and west of the curved road, what change has occurred?  **A)** A new house was constructed. **B)** A large swimming pool was installed. **C)** The existing house was demolished. **D)** A community park was established.",A,A,a,True,Multiple Choice
71,"Has a rectangular swimming pool been newly constructed on the far western edge of the scene, adjacent to the residential road, in an area that was previously bare ground?",Yes,Yes,yes,True,Yes/No
72,"Looking at the front yard of the house situated immediately north of the swimming pool's parking lot, what change can be observed regarding the tree?  **A)** The tree has been removed. **B)** The tree has grown and developed a full green canopy. **C)** A second tree has been planted next to the original one. **D)** The tree has been replaced with a flower bed.",B,B,b,True,Multiple Choice
73,"Has a large, newly constructed building appeared in the eastern portion of the residential cluster, situated directly north of the smaller white structure?",Yes,Yes,yes,True,Yes/No
74,Has a new building been constructed in the southern central portion of the residential area?,Yes,Yes,yes,True,Yes/No
75,"Has a new swimming pool been constructed behind a residence in the eastern portion of the area, where there was previously only undeveloped scrubland?",Yes,Yes,yes,True,Yes/No
76,"In the northernmost part of the image, has a building with a tan-colored roof been newly constructed where there were previously only trees and open ground?",Yes,Yes,yes,True,Yes/No
77,"Is there a newly constructed building in the northern part of the open field, east of the main road?",Yes,Yes,yes,True,Yes/No
78,"Looking at the area north of the diagonal road near the dirt path in the upper right portion of the image, what change has occurred to the vegetation?  **A)** The trees were completely removed for a new construction. **B)** The trees have grown significantly in size and foliage density. **C)** The trees were replaced by a paved parking area. **D)** The trees have been thinned out to make room for a driveway.",B,B,b,True,Multiple Choice
79,"Looking at the area to the east of the cluster of trees in the first image, which now sits to the west of a new cul-de-sac in the second image, what change has occurred?  **A)** A pre-existing house was renovated. **B)** A new building was constructed on previously undeveloped land. **C)** A small barn was demolished to make way for a road. **D)** A group of trees was planted in the open field.",B,B,b,True,Multiple Choice
80,"Has a new building been constructed in the southern portion of the image, situated to the west of the primary road?",Yes,Yes,yes,True,Yes/No
81,"In the lower-left portion of the images, near the edge of the newly constructed road, what change has occurred to the tree that was originally present?  **A)** It was replaced by a small residential building. **B)** It was removed or cut down to clear space for development. **C)** It was relocated to the backyard of one of the new houses. **D)** It was integrated into a new landscaped garden bed.",B,B,b,True,Multiple Choice
82,Has a sidewalk been newly constructed along the southern edge of the road in the southeastern section of the neighborhood?,Yes,Yes,yes,True,Yes/No
83,"Has the narrow, light-colored dirt driveway in the northwest quadrant been replaced with a wider, paved asphalt driveway and parking area?",Yes,Yes,yes,True,Yes/No
84,"Along the northern edge of the road on the far left side of the images, what change can be seen regarding the sidewalk?  **A)** It was demolished and replaced with a dirt path. **B)** It was newly constructed where there was previously only unpaved ground. **C)** It was widened to accommodate a bike lane. **D)** It was removed to expand the front yards of the adjacent houses.",B,D,d,False,Multiple Choice
85,"In the bottom right corner of the residential area, along the side of the road, what change can be observed regarding the sidewalk?  **A)** It was removed and replaced with grass. **B)** A new sidewalk was constructed. **C)** The sidewalk was widened and painted. **D)** It was demolished to make room for a parking space.",B,B,b,True,Multiple Choice
86,Is there a newly constructed sidewalk running alongside the row of trees in the bottom-right quadrant of the image?,Yes,Yes,yes,True,Yes/No
87,"Is there a newly constructed building at the top edge of the image, located at the northern end of the residential development?",Yes,No,no,False,Yes/No
88,What change is observed in the building located near the center of the right edge of the image?  **A)** A new building was constructed. **B)** The building was demolished. **C)** The building's roof was painted a different color. **D)** The building was moved further to the left.,A,A,a,True,Multiple Choice
89,"Has a new paved road with a landscaped central divider been constructed in the northwest portion of the area, forming a new intersection with the main diagonal road?",Yes,Yes,yes,True,Yes/No
90,"Has a new paved road, complete with a cul-de-sac and connected residential driveways, been constructed in the southern portion of the image where there was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
91,"Have trees been planted in the backyard of the house located in the south-central portion of the residential neighborhood, where there was previously only bare ground?",Yes,Yes,yes,True,Yes/No
92,"In the top-left portion of the image, has a newly paved parking lot with marked stalls been constructed?",Yes,Yes,yes,True,Yes/No
93,Has the individual tree located in the open grassy area on the eastern side of the fork in the dirt road been removed?,Yes,Yes,yes,True,Yes/No
94,"Has a large building with a white roof been constructed in the southwestern corner of the area, adjacent to a newly paved parking lot?",Yes,Yes,yes,True,Yes/No
95,"Looking at the northeast corner of the provided images, what change can be observed between the two time periods?  **A)** An existing building was completely demolished. **B)** A new residential building was constructed on a previously cleared lot. **C)** A large swimming pool was added to the backyard of an existing house. **D)** A dense grove of trees was planted where there was once a field.",B,B,b,True,Multiple Choice
96,"What happened to the tree located in the northwest region of the image, near the upper edge, between the first and second timestamps?  **A)** It has been removed. **B)** It has been replaced by a new residential building. **C)** It has significantly grown in height and canopy width. **D)** It was relocated to the center of the image.",A,A,a,True,Multiple Choice
97,What change occurred to the structures in the bottom right corner of the image between the two time periods?  **A)** A new row of residential townhouses was constructed. **B)** Several old buildings were demolished to clear the land. **C)** A large commercial shopping center was built. **D)** A parking lot was paved over an existing field.,A,A,a,True,Multiple Choice
98,Has a tree been planted in the front yard of the house situated on the north side of the diagonal road in the southeastern portion of the image?,Yes,No,no,False,Yes/No
99,What happened to the building located in the upper right corner of the image?  **A)** It was renovated with a new roof. **B)** It was completely demolished. **C)** It was replaced by a larger structure. **D)** A new swimming pool was built next to it.,B,B,b,True,Multiple Choice
100,Has a tree been planted in the area south of the western wing of the white L-shaped building?,Yes,Yes,yes,True,Yes/No
101,"In the lower right area of the images, what major change involving a structure has taken place?  **A)** A new building has been constructed. **B)** An old building has been demolished. **C)** A building's roof has been changed to a different color. **D)** A building has been relocated to a different part of the lot.",A,A,a,True,Multiple Choice
102,"Has a new dark-roofed building been constructed in the northern section of the property, situated between the road and the lake, and to the east of the house that was already present in the earlier image?",Yes,Yes,yes,True,Yes/No
103,"Has a new residential building with a grey roof been constructed in the bottom-left corner of the area, situated at the end of the newly formed cul-de-sac?",Yes,Yes,yes,True,Yes/No
104,What change occurred in the middle-right area of the land shown in these images?  **A)** A new residential building was constructed. **B)** A building was completely demolished. **C)** A new paved road was added to an empty field. **D)** Dense vegetation was cleared to make way for a park.,A,C,c,False,Multiple Choice
105,"Based on a holistic comparison of the two images, what can be concluded about the overall scene consistency over time?  **A)** The scene exhibits a high degree of visual parity and structural integrity. **B)** There is a moderate level of temporal deviation between the two captures. **C)** A significant global alteration is evident throughout the area. **D)** The images display a pronounced and pervasive structural shift.",A,A,a,True,Multiple Choice
106,"In the bottom right area of the images, situated east of the parking lot and north of the large grey building, what happened to the small structure?  **A)** It was demolished. **B)** A new roof was installed. **C)** It was expanded to twice its original size. **D)** It was converted into a swimming pool.",A,A,a,True,Multiple Choice
107,"In the open field area situated northwest of the divided highway, what significant change is visible between the two time periods?  **A)** A new building with a white roof and a parking lot was constructed. **B)** An old farmhouse was demolished to expand the field. **C)** A new public park with walking trails was established. **D)** The highway was expanded into a four-lane expressway.",A,A,a,True,Multiple Choice
108,"Comparing the two images, what has occurred at the southernmost end of the row of houses on the left side of the developed area?  **A)** An existing house was renovated. **B)** A house was demolished to create open space. **C)** A new house was constructed. **D)** A commercial building was converted into a residence.",C,C,c,True,Multiple Choice
109,"Looking at the intersection corner near the center of the images, what change has occurred regarding the sidewalk?  **A)** It was demolished to make way for a larger yard. **B)** It was newly constructed as the residential lot was developed. **C)** It was painted with bright yellow safety markings. **D)** It was replaced with a dirt walking path.",B,B,b,True,Multiple Choice
110,Is there any observable discrepancy between the two scenes?,No,Yes,yes,False,Yes/No
111,"In the northwestern part of the neighborhood, specifically looking at the lot situated just to the west of the northernmost cul-de-sac, what change occurred to the building at this site between the two images?  **A)** A new residential building was constructed on previously vacant land. **B)** An existing building was completely demolished and replaced with a grassy field. **C)** The building underwent a major structural expansion to its rear. **D)** The roof of the building was significantly modified or replaced.",A,A,a,True,Multiple Choice
112,"Has a new residential building been constructed in the lower-right corner of the image, situated among a cluster of trees where there was previously only vegetation?",Yes,Yes,yes,True,Yes/No
113,"Looking at the residential neighborhood on the left side of the image, what change can be observed regarding the trees around the houses in the cul-de-sac?  **A)** Most of the trees have been cleared to make room for new buildings. **B)** The trees have been replaced with smaller decorative shrubs. **C)** The trees have grown significantly, appearing much larger and denser. **D)** The trees have been removed and replaced with paved driveways.",C,C,c,True,Multiple Choice
114,What change occurred to the building in the bottom-left corner of the image between the two time periods?  **A)** The building was newly constructed. **B)** The building was demolished. **C)** The building was expanded with an addition. **D)** The building's roof was replaced.,A,B,b,False,Multiple Choice
115,"In the top-left corner of the image, has the light-colored sidewalk segment been removed or paved over with a darker material?",Yes,Yes,yes,True,Yes/No
116,"In the southern section of the image, situated at the end of the residential street, has a new building been constructed on what was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
117,"Has a paved sidewalk been constructed on the western edge of the cul-de-sac, where there was previously only undeveloped land and dirt?",Yes,Yes,yes,True,Yes/No
118,"In the northern part of the images, along the western edge of the main road near the intersection, what change has occurred to the sidewalk?  **A)** A new sidewalk was constructed. **B)** The existing sidewalk was demolished. **C)** The sidewalk was widened. **D)** The sidewalk was moved closer to the road.",A,C,c,False,Multiple Choice
119,"Looking at the lower-left portion of the area, what change can be observed regarding the paved road between the first and second images?  **A)** A paved road has been demolished. **B)** A paved road has been constructed. **C)** A paved road has been widened to include more lanes. **D)** A paved road has been replaced by a dirt track.",B,B,b,True,Multiple Choice
120,"Have multiple paved residential roads and cul-de-sacs been constructed throughout the area, replacing what was previously open, undeveloped land?",Yes,Yes,yes,True,Yes/No
121,"In the northeast quadrant of the area, have new buildings with complex, multi-toned gray roofs been constructed in place of the previous dense tree cover?",Yes,Yes,yes,True,Yes/No
122,Has a large tree appeared or significantly increased in size in the front yard of the second house from the left edge on the north side of the central horizontal street?,Yes,No,no,False,Yes/No
123,"What change occurred to the tree located on the east side of the property, situated along the long dirt driveway?  **A)** It was relocated. **B)** It was demolished. **C)** It was pruned. **D)** It was planted.",B,B,b,True,Multiple Choice
124,"Looking at the bottom right corner of the images, what change has taken place at the location where a residence is now situated?  **A)** A new house was constructed. **B)** A house was demolished. **C)** A large extension was added to the house. **D)** The house was painted a different color.",A,A,a,True,Multiple Choice
125,"In the western section of the residential complex, situated directly to the west of the swimming pool area, what change occurred regarding the tree located there?  **A)** It was removed. **B)** A new tree was planted in its place. **C)** It was replaced by a small utility building. **D)** It grew noticeably taller and wider.",A,A,a,True,Multiple Choice
126,"Has a segment of the sidewalk on the western side of the vertical road, located in the upper-left quadrant of the image, been removed?",Yes,Yes,yes,True,Yes/No
127,"In the northeast corner of the image, has the tree been removed to make way for the development of a residential neighborhood?",Yes,Yes,yes,True,Yes/No
128,"Has a new building been constructed in the southwest corner of the area, nestled among the trees?",Yes,No,no,False,Yes/No
129,What change can be observed regarding the buildings in the northwest corner of the area between the two images?  **A)** New residential buildings have been constructed on previously vacant land. **B)** Several old houses were demolished to make room for a field. **C)** The existing buildings underwent a complete roof replacement. **D)** A large commercial warehouse was built to replace small homes.,A,A,a,True,Multiple Choice
130,"Focusing on the northeast corner of the area shown, how has the sidewalk changed between the two images?  **A)** It was newly built as part of the urban expansion. **B)** It was removed to expand the adjacent roadway. **C)** It was widened and paved with decorative bricks. **D)** It was shortened to allow for more residential parking.",A,B,b,False,Multiple Choice
131,"Looking at the area near the bottom-center of the frame, what significant change has occurred between the two images?  **A)** An older building was demolished and replaced by a parking lot. **B)** A new house has been built on previously vacant land. **C)** A forest area was cleared to make room for a new road. **D)** A swimming pool was installed in the backyard of an existing house.",B,B,b,True,Multiple Choice
132,"In the central part of the residential park, what change is observed in the space between two adjacent long buildings near the bend in the road?  **A)** A new small building or structure has appeared. **B)** An existing building was removed, leaving an empty lot. **C)** A paved driveway was added. **D)** Significant vegetation was cleared.",A,A,a,True,Multiple Choice
133,Which of the following best describes the overall scene consistency between the two provided images?  **A)** High degree of visual parity with no discernible temporal deviation. **B)** Significant global alteration across the entire frame. **C)** Moderate structural shifting between the captures. **D)** Pronounced environmental flux and lack of stability.,A,A,a,True,Multiple Choice
134,"In the eastern section of the parking lot, just north of the large white-roofed building, has a new tree been planted in a spot that was previously occupied by a vehicle?",Yes,Yes,yes,True,Yes/No
135,"Has the group of trees located on the western side of the original road, just south of where the road forks, been removed in the second image following the construction of the roundabout?",Yes,Yes,yes,True,Yes/No
136,"In the central-southern portion of the wooded area, has the tree been removed and replaced by a cleared, sandy ground surface as part of a larger development?",Yes,Yes,yes,True,Yes/No
137,"Looking at the front yard on the far right side of the central residential block, near the sidewalk, what change is observed in the vegetation between the two images?  **A)** The tree has been removed and replaced with a paved area. **B)** The tree has grown significantly and its foliage has become much more lush and green. **C)** A new house has been constructed where the tree used to be. **D)** The tree has died and only a stump remains.",B,B,b,True,Multiple Choice
138,What change has occurred in the southwest corner of the area depicted in the second image compared to the first?  **A)** A new residential building has been constructed. **B)** A pre-existing building has been demolished. **C)** The existing building was expanded. **D)** A large tree was removed from the lot.,A,A,a,True,Multiple Choice
139,"Focusing on the residential area in the upper-right quadrant of the image, what change can be observed regarding the tree in the front yard of the house?  **A)** It was removed during land clearing. **B)** It was planted as part of the new landscaping. **C)** It was relocated to the backyard. **D)** It was significantly trimmed.",B,A,a,False,Multiple Choice
140,"In the northeast corner of the area, what change can be observed regarding the athletic field?  **A)** The athletic field was demolished. **B)** A new athletic field was constructed. **C)** The athletic field was replaced by a building. **D)** The athletic field remained unchanged.",B,D,d,False,Multiple Choice
141,"Has a new residential building been constructed in the southeastern corner of the area, replacing the previous vegetation?",Yes,Yes,yes,True,Yes/No
142,"Looking at the southeast corner of the area, what significant change can be observed between the two images?  **A)** A house was constructed on previously undeveloped land. **B)** A forest was preserved and expanded. **C)** A commercial shopping center was demolished. **D)** A highway was rerouted through the area.",A,A,a,True,Multiple Choice
143,"In the southeastern section of the residential area, has a tree been planted next to the driveway of the house located along the street on the right?",Yes,Yes,yes,True,Yes/No
144,"Has a new residential building been constructed in the northwest section of the area, situated just east of the cluster of trees along the left edge?",Yes,Yes,yes,True,Yes/No
145,What development took place in the northeast section of the area shown in the images?  **A)** A building was demolished. **B)** A building was newly constructed. **C)** The roof of an existing building was replaced. **D)** A swimming pool was installed in the yard.,B,C,c,False,Multiple Choice
146,"Has a new house been constructed in the southern part of the residential development, situated between two other homes along the curved street?",Yes,Yes,yes,True,Yes/No
147,"Has a new residential building been constructed in the eastern section of the area, replacing what was previously undeveloped land with sparse vegetation?",Yes,Yes,yes,True,Yes/No
148,"In the northwest corner of the area shown, what change occurred regarding the building between the two images?  **A)** The building was demolished. **B)** A new building was constructed. **C)** The building's roof was replaced. **D)** An extension was added to an existing building.",B,B,b,True,Multiple Choice
149,"In the southeast section of the residential development, what change has occurred to the lot between the two images?  **A)** A building was demolished. **B)** A new building was constructed. **C)** An addition was built onto an existing structure. **D)** The building was destroyed by a fire.",B,B,b,True,Multiple Choice
150,"Has the tree located in the upper right quadrant of the scene, north of the light-colored dirt road, been removed to make way for a residential housing development?",Yes,Yes,yes,True,Yes/No
151,"In the southeastern portion of the area, has a new residential house been constructed on what was previously part of an open field?",Yes,Yes,yes,True,Yes/No
152,"What change can be observed in the southwest corner of the image, near the bottom edge?  **A)** A parking lot was demolished and replaced with bare soil. **B)** A new parking lot was constructed on what was previously undeveloped land. **C)** A large building was erected in place of an old parking area. **D)** The area was cleared of trees to expand the adjacent road.",B,B,b,True,Multiple Choice
